First Name,Last Name,Email,Phone,Business Name,Address,City,State,Zip,Niche,Geo,Digital Maturity Score,Website Score,Instagram Score,Google Reviews Count,Est Monthly Revenue Band,Decision Maker Name,Decision Maker Role,Last Contact Date,Next Action Date,Objection Type,Offer Tier,Proposal Amount,Expected Close Date,Tags,Pipeline Stage,Notes
Owner,TBD,,(562) 808-2144,Image Care Clinic,3510 E Lakewood Blvd,Lakewood,CA,90703,Med Spa,geo-lakewood,3,3,2,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-lakewood,msa-imported-no-email-verify",,Non-surgical facelifts. Open 9AM-3PM. Easy owner access.
Owner,TBD,,,Ambiance Skin Care & Day Spa,Belmont Area,Long Beach,CA,90803,Med Spa,geo-longbeach,2,2,2,,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,20+ years experience. Facials infrared sauna salt rooms. TripAdvisor top ranked. No premium brand.
Owner,TBD,,,Bariatric Institute,790 E Willow St #100,Long Beach,CA,90806,Med Spa,geo-longbeach,3,3,2,118,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,5.0 stars 118 reviews. Weight control and med spa combo. Premium cross-sell angle.
Owner,TBD,,(323) 348-6900,Me Body Sculpting,2231 N Lakewood Blvd #200,Long Beach,CA,90815,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Body sculpting and beauty inside Me Time Beauty Bar.
Owner,TBD,,(562) 270-9800,Long Beach Medical Weight Control,1934 N Lakewood Blvd,Long Beach,CA,90815,Med Spa,geo-longbeach,3,3,2,,$50K-100K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.1 Google rating. Weight control clinic with aesthetic opportunity.
Owner,TBD,,(562) 336-1658,Reddy Aesthetics,4241 Atlantic Ave,Long Beach,CA,90807,Med Spa,geo-longbeach,4,4,3,68,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.4 stars 68 reviews. Botox laser IV therapy. Decent base but no social or brand strategy.
Owner,TBD,,,Xclusive's Spa Suite,4432 Pacific Coast Hwy,Long Beach,CA,90804,Med Spa,geo-longbeach,4,4,3,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Medical spa suite model. No brand differentiation visible.
Owner,TBD,,,Spavia LBX,4201 McGowen St #240,Long Beach,CA,90808,Med Spa,geo-longbeach,4,4,3,68,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.1 stars 68 reviews. Day spa. Ripe for premium digital overhaul.
Owner,TBD,,,Gameday Men's Health,4300 Long Beach Blvd #450,Long Beach,CA,90807,Med Spa,geo-longbeach,5,5,4,51,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.9 stars 51 reviews. Men's health aesthetics. Underserved male market play.
Owner,TBD,,,HydraBeach IV Therapy & Cosmetic,5865 E Naples Plaza,Long Beach,CA,90803,Med Spa,geo-longbeach,5,5,4,57,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.9 stars 57 reviews. IV therapy and injectables. Strong reviews weak brand.
Owner,TBD,,,Panacea Healthcare,2630 Pacific Ave,Long Beach,CA,90806,Med Spa,geo-longbeach,5,4,3,,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Botox laser IV therapy weight management. Lots of services but scattered positioning.
Owner,TBD,,,Harmony Aesthetics Center,1000 N Sepulveda Blvd #230,Long Beach,CA,90810,Med Spa,geo-longbeach,4,4,3,255,$150K-300K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,5.0 stars 255 reviews. Strong reputation but weak digital brand.
Owner,TBD,,,Allure Body Boutique,TBD,Lakewood,CA,90712,Med Spa,geo-lakewood,4,4,3,,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-lakewood,msa-imported-no-email-verify",,RN-led spa. Non-surgical rejuvenation and IV hydration. Lacks premium digital positioning.
Owner,TBD,,,Skin Bar By Mila,5500 2nd St #3,Long Beach,CA,90803,Med Spa,geo-longbeach,5,5,4,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,5.0 stars. Boutique skincare. No visible social or web strategy.
Owner,TBD,,,Rejuvenate Spa,1001 Pacific Coast Hwy #125,Long Beach,CA,90804,Med Spa,geo-longbeach,4,4,3,110,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,4.4 stars 110 reviews. Solid reviews. No premium brand presence.
Owner,TBD,,,Great Life Medical PC,1777 N Bellflower Blvd #109,Long Beach,CA,90815,Med Spa,geo-longbeach,6,5,5,323,$150K-300K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,5.0 stars 323 reviews. Top reviews but lacks digital brand leverage.
Owner,TBD,,(562) 997-1144,Laser Skin Care Center Dermatology,3828 Schaufele Ave #300,Long Beach,CA,90808,Med Spa,geo-longbeach,6,6,4,,$200K-500K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Medical and surgical dermatology. Mohs surgery. High revenue potential. Social gap obvious.
Owner,TBD,,(562) 256-9929,Comprehensive Dermatology of Long Beach,3736 Atlantic Ave,Long Beach,CA,90807,Med Spa,geo-longbeach,5,5,4,,$200K-400K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Full cosmetic derm. Fillers laser microneedling. Sophisticated practice weak social game.
Owner,TBD,,(562) 685-8050,Resplendent Day Spa,2801 E Spring St #120,Long Beach,CA,90806,Med Spa,geo-longbeach,5,4,4,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Serves Lakewood and Bellflower. Microchanneling and contouring. Scattered marketing.
Owner,TBD,,(562) 607-1677,Angilee Med Spa,7255 Carson Blvd #118,Long Beach,CA,90808,Med Spa,geo-longbeach,6,5,5,200,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,200 plus five-star reviews. Open Wed-Sat. Good reputation. No strategic positioning.
Owner,TBD,,(562) 349-0239,Novel U Wellness and Med Spa,3633 Long Beach Blvd #105,Long Beach,CA,90807,Med Spa,geo-longbeach,6,6,5,,$150K-300K,TBD,Owner,,,,Tier 2,5000,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Two locations. Botox fillers IV therapy microneedling. Decent site but no content or social strategy.
Owner,TBD,,(562) 512-7900,SkinSpirit Long Beach,2nd and PCH Shopping Center,Long Beach,CA,90803,Med Spa,geo-longbeach,6,6,5,,$300K+,TBD,Manager/Owner,,,,Tier 2,5000,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,20 years experience. Chain location. Premium website. Pitch competitive analysis and social campaign.
Owner,TBD,,,Bellissima Medical Spa,TBD,Long Beach,CA,,Med Spa,geo-longbeach,7,6,6,,$150K-300K,TBD,Owner,,,,Tier 3,7500,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Morpheus8 injectables laser weight loss. Stronger digital but no premium market position.
Owner,TBD,,,POD SPA & WELLNESS,TBD,Long Beach,CA,,Med Spa,geo-longbeach,7,7,5,,$150K-300K,TBD,Owner,,,,Tier 3,7500,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Top-rated. Infrared sauna suites. Strong base. Opportunity: luxury brand domination and paid social.
Owner,TBD,hello@MODAmedspa.com,(562) 213-9133,Moda Aesthetics + Wellness,4820 Paramount Blvd,Lakewood,CA,90712,Med Spa,geo-lakewood,7,6,6,,$100K-200K,TBD,Owner,,,,Tier 3,7500,,"msa-tier3-priority,msa-niche-medspa,msa-geo-lakewood,msa-imported-no-email-verify",,Mon-Fri 10-6. Strong brand name. Botox microneedling IV. Needs male market and content strategy.
Owner,TBD,,,GentleCare Laser Aesthetics,245 Pine Ave #200,Long Beach,CA,90802,Med Spa,geo-longbeach,6,5,5,,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Laser focused. Downtown location. No visible content or brand story.
Owner,TBD,,,Sibel Aesthetics,21730 S Vermont Ave #131,Long Beach,CA,90044,Med Spa,geo-longbeach,5,5,4,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Aesthetic treatments. Low digital score for a branded business.
Owner,TBD,,,Heller Dermatology and Cosmetic Surgery,TBD,Long Beach,CA,,Med Spa,geo-longbeach,6,6,4,,$300K+,TBD,Owner,,,,Tier 2,5000,,"msa-tier3-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Botox peels photofacials laser liposuction. High revenue but zero social presence.
Owner,TBD,,,Rejuvenation Clinic TBD,TBD,Long Beach,CA,,Med Spa,geo-longbeach,3,3,2,,$50K-150K,TBD,TBD,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Research needed. High opportunity placeholder for emerging anti-aging clinics.
Owner,TBD,,,Aesthetic Nurse Practitioner Solo,TBD,Long Beach,CA,,Med Spa,geo-longbeach,2,2,1,,$30K-80K,TBD,NP Owner,,,,Tier 1,1667,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Solo injector. High need for web and social. Lowest resistance entry.
Owner,TBD,,,Beauty Bar Aesthetics,TBD,Long Beach,CA,,Med Spa,geo-longbeach,3,3,2,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Micro-services and aesthetics chain location. Low digital presence.
Owner,TBD,,,Wellness Center with Aesthetic Add-On,TBD,Long Beach,CA,,Med Spa,geo-longbeach,4,4,3,,$100K-200K,TBD,Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Fitness and wellness combo. Aesthetic add-on revenue potential.
Owner,TBD,,,Pop-Up Aesthetic Clinic,TBD,Long Beach,CA,,Med Spa,geo-longbeach,2,1,1,,$30K-80K,TBD,Owner,,,,Tier 1,1667,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Botox bars and injector pop-ups. Retail location format. Fast close opportunity.
Owner,TBD,,,Medical Office Aesthetic Side Gig,TBD,Long Beach,CA,,Med Spa,geo-longbeach,3,3,2,,$100K-300K,TBD,MD Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Doctors with aesthetic services added. High revenue base. Needs dedicated digital presence.
Owner,TBD,,,Senior Living Aesthetic Program,TBD,Long Beach,CA,,Med Spa,geo-longbeach,2,1,1,,$50K-100K,TBD,Program Director,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,In-facility services for active seniors. Highly niche. No web presence.
Owner,TBD,,,Corporate Wellness Aesthetic Clinic,TBD,Long Beach,CA,,Med Spa,geo-longbeach,2,2,1,,$50K-150K,TBD,Operations Manager,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Office complex lunch-hour aesthetics. Emerging B2B format. Zero digital brand.
Owner,TBD,,,Franchise Med Spa Location,TBD,Long Beach,CA,,Med Spa,geo-longbeach,4,4,3,,$150K-300K,TBD,Franchisee Owner,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Franchisee owned. Has national brand playbook but handles local marketing. Big gap.
Owner,TBD,,,Mobile At-Home Aesthetics,TBD,Long Beach,CA,,Med Spa,geo-longbeach,2,1,1,,$30K-80K,TBD,Owner,,,,Tier 1,1667,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,House call injectables and facials. High-touch luxury angle. No digital presence at all.
Owner,TBD,,,Local Dermatology Clinic Aesthetics Pivot,TBD,Long Beach,CA,,Med Spa,geo-longbeach,5,5,4,,$200K-400K,TBD,Practice Manager,,,,Tier 2,5000,,"msa-tier2-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Medical dermatologist adding cosmetic. Big revenue potential. Social conversion angle.
Owner,TBD,,,Wellness Retreat Day Spa,TBD,Long Beach,CA,,Med Spa,geo-longbeach,3,3,2,,$50K-150K,TBD,Owner,,,,Tier 2,5000,,"msa-tier1-priority,msa-niche-medspa,msa-geo-longbeach,msa-imported-no-email-verify",,Day retreat and aesthetic combo. Luxury experience angle. No digital strategy.
